COMID,Region,BFS_West,HUC8,ElevCat,ClayCat,SandCat,RckDepCat,Divergence,Slope,Confinement,TotDASqKM
7601119,West,1,11070208,239.8251,35.0973,18.4362,145.894,0,0.00001,0,2606.762
20906997,West,1,-9999,371.1795,35.45,10.3749,152.4,0,0.00079964,3,-9999
7592715,West,1,11070207,248.4289,38.2632,21.6027,143.951,0,0.00027158,1,6677.681
7600527,West,1,11070208,285.1512,36.4523,19.572,146.0866,0,0.01724209,1,7.9425
7600551,West,1,11070208,280.2543,38.8976,20.8136,147.6764,0,0.00220172,1,243.8784
7600671,West,1,-9999,305.0617,37.9165,21.5227,147.0173,0,0.00278994,2,-9999
7601043,West,1,11070208,359.0246,39.085,19.5851,149.4217,0,0.00140163,3,306.9405
7601071,West,1,-9999,262.2042,39.08,21.8624,146.46,0,0.0021768,1,-9999
7601075,West,1,-9999,274.4433,37.3401,21.1523,147.2867,0,0.00096174,1,-9999
7601075,West,1,-9999,274.4433,37.3401,21.1523,147.2867,0,0.00096174,1,-9999
7601075,West,1,-9999,274.4433,37.3401,21.1523,147.2867,0,0.00096174,1,-9999
7601075,West,1,-9999,274.4433,37.3401,21.1523,147.2867,0,0.00096174,1,-9999
7592699,West,1,11070207,251.8604,34.3719,19.945,143.9861,0,0.00001,1,6543.533
7601117,West,1,11070208,246.5792,34.9878,18.6625,146.555,0,0.00001,0,2561.49
7592691,West,1,11070207,253.275,33.7556,18.4969,147.5146,0,0.0000831,2,6516.391
7601127,West,1,11070208,272.2346,32.2159,19.1951,149.7481,0,0.00532755,0,2075.031
7601127,West,1,11070208,272.2346,32.2159,19.1951,149.7481,0,0.00532755,0,2075.031
7770659,West,1,11110202,115.0271,27.28,19.12,124.43,0,0.00461466,1,2.8908
20874826,West,1,11070205,275.8986,39.4,10.55,146.6,0,0.00394863,1,2.5902
20876332,West,1,11070205,240.9791,35.753,8.1113,152.0941,0,0.00001,1,14855.01
20888737,West,1,11070204,353.0925,37.2927,10.2657,115.4905,0,0.00635711,1,4.1004
