COMID,Region,BFS_All,BFS_West,BFS_East,HUC8,ElevCat,ClayCat,SandCat,RckDepCat,Divergence,Slope,Confinement,TotDASqKM
15760024,East,1,0,1,3180002,110.206,21.4067,41.8269,152.4,0,0.01672897,1,2.727
15760792,East,1,0,1,3180002,84.8845,16.4268,46.8997,152.4,0,0.01543478,1,1.3383
15760904,East,1,0,1,3180002,83.5265,21.7172,33.0295,152.4,0,0.00491513,1,10.2987
15759804,East,1,0,1,3180002,89.2073,22.6925,37.8156,152.4,0,0.00406438,1,87.6285
15760642,East,1,0,1,3180002,87.4486,19.92,32.4692,152.4,0,0.00331721,1,9.2871
15737183,East,1,0,1,3180003,65.8436,22.1325,31.2078,152.4,0,0.00198847,1,114.6681
15748162,East,1,0,1,3180002,105.1341,20.5985,32.9805,152.4,0,0.00176076,1,11.2716
15735965,East,1,0,1,3180003,117.6218,20.51,29.03,152.4,0,0.00163439,1,36.3897
15760804,East,1,0,1,3180002,77.5405,17.3372,42.4513,152.4,0,0.00159435,3,62.9982
15737603,East,1,0,1,3180003,52.6345,20.4395,36.6769,152.4,0,0.00155725,1,13494.4101
15752942,East,1,0,1,3180002,99.0744,22.3004,44.7895,152.4,0,0.00153745,1,47.5974
15736045,East,1,0,1,3180003,76.3968,23.9032,24.2708,152.4,0,0.00142959,2,197.1072
15735961,East,1,0,1,3180003,109.7895,20.51,29.0302,152.4,0,0.00135815,1,44.5275
15760014,East,1,0,1,3180002,85.7715,20.6081,41.0741,152.4,0,0.00135308,2,1452.3705
933180304,East,1,0,1,3180003,66.7659,24.7604,25.1321,152.4,0,0.00107746,1,268.7967
15737459,East,1,0,1,3180003,57.6868,15.62,51.2519,152.4,0,0.00098224,1,11926.0764
15737501,East,1,0,1,3180003,59.7949,19.5844,40.1845,152.4,0,0.0004666,1,12404.8359
15760064,East,1,0,1,3180002,80.1997,20.3875,41.3912,152.4,0,0.00027573,2,1537.4916
15735941,East,1,0,1,3180003,99.6157,17.56,17.6665,152.4,0,0.00021355,1,123.7689
15759790,East,1,0,1,3180002,92.6861,26.3024,33.3922,152.4,0,0.00014755,3,1013.9382
15739663,East,1,0,1,3180003,55.7929,21.7476,32.4776,152.4,0,0.00012784,1,13586.9121
15737507,East,1,0,1,3180003,59.4922,15.7017,49.6321,152.4,0,0.00004757,1,12425.0787
15737615,East,1,0,1,3180003,54.313,18.4811,42.2337,152.4,0,0.00004278,1,13508.6022
15739657,East,1,0,1,3180003,66.4195,20.4406,37.28,152.4,0,0.00001,1,13573.917
15760720,East,1,0,1,3180002,83.9675,23.7417,31.0105,152.4,0,0.00001,1,9449.3385
15737531,East,1,0,1,3180003,60.6758,29.2372,27.6862,152.4,0,0.00001,2,12848.6061
15737521,East,1,0,1,3180003,60.7622,17.5966,44.4017,152.4,0,0.00001,1,12785.0859
15737533,East,1,0,1,3180003,54.9919,15.62,46.6672,152.4,0,0.00001,2,12857.8329
15737481,East,1,0,1,3180003,59.2621,24.37,26.3066,152.4,0,0.00001,1,12388.0455
15737457,East,1,0,1,3180003,60.2231,17.7541,46.3595,152.4,0,0.00001,1,11920.1661
17992736,East,1,0,1,8030206,84.3422,18.86,6.8039,152.4,0,0.0017006,1,26.5851
17992728,East,1,0,1,8030206,81.2319,16.2767,10.1806,152.4,0,0.00182332,1,31.9527
17992716,East,1,0,1,8030206,86.3767,17.4438,8.9699,152.4,0,0.00206194,1,19.8954
17992684,East,1,0,1,8030206,71.8355,10.6805,18.5706,152.4,0,0.00367726,1,8.7273
17992318,East,1,0,1,8030206,93.5685,18.86,6.79,152.4,0,0.00191099,1,10.5192
17992424,East,1,0,1,8030206,93.7894,13.6667,23.7247,152.4,0,0.00322132,1,26.2809
17992154,East,1,0,1,8030206,76.3939,16.14,26.7453,152.4,0,0.00052863,1,113.8104
18015442,East,1,0,1,8030205,94.2185,29.112,16.2738,152.0782,0,0.0024581,1,19.4391
18015480,East,1,0,1,8030205,89.4335,20.4185,30.8467,152.329,0,0.0020771,1,28.8657
18016170,East,1,0,1,8030205,74.752,30.22,23.0033,150.87,0,0.00491329,1,9.639
18013520,East,1,0,1,8030205,92.4023,20.4518,19.4339,152.4,0,0.00132748,1,78.8832
18015076,East,1,0,1,8030205,89.4142,19.8347,31.695,152.4,0,0.000054,1,23.418
18015252,East,1,0,1,-9999,78.0528,32.2,15.2868,152.4,0,0.01313725,2,-9999
18018076,East,1,0,1,-9999,71.4589,18.896,15.6224,152.4,0,0.00087329,3,-9999
18017814,East,1,0,1,8030205,73.1363,24.7433,28.5673,152.4,0,0.00028293,3,240.237
18017812,East,1,0,1,8030205,78.2099,24.9311,29.0252,152.4,0,0.00357394,1,16.6644
18017738,East,1,0,1,8030205,64.4745,14.37,6.8429,152.4,7,0.00001,3,485.5959
18017752,East,1,0,1,8030205,74.7591,25.4874,30.6103,152.4,0,0.00288504,1,18.4284
18018466,East,1,0,1,8030205,89.1528,20.4802,20.4388,152.4,0,0.00442992,1,24.9183
18018414,East,1,0,1,8030205,98.2278,23.6562,26.0708,152.4,0,0.00454595,1,5.7879
18018448,East,1,0,1,8030205,102.7768,25.4592,30.5752,152.4,0,0.00367064,1,12.0816
18018452,East,1,0,1,8030205,85.5643,19.543,16.1061,152.4,0,0.00356698,1,17.0424
18018544,East,1,0,1,8030205,79.2238,15.0785,9.7851,152.4,7,0.00217803,1,38.6802
18018148,East,1,0,1,8030205,84.0286,19.3685,15.9915,152.4,7,0.00139626,1,94.6161
18016812,East,1,0,1,8030205,58.6371,15.7754,7.2566,152.4,0,0.00149327,1,4337.693
18016786,East,1,0,1,-9999,57.7482,16.4349,7.3987,152.4,0,0.00001,2,-9999
18017434,East,1,0,1,8030205,84.758,18.86,6.79,152.4,0,0.00116972,1,12.1635
18017266,East,1,0,1,8030205,76.6016,17.2277,9.4229,152.4,0,0.00091666,2,51.327
17996878,East,1,0,1,8030206,83.2375,13.4769,15.3002,152.4,0,0.01105229,1,1.1889
17997252,East,1,0,1,8030206,72.9519,14.5064,11.5369,152.4,0,0.00143589,1,38.6622
17997324,East,1,0,1,8030206,70.8039,16.364,8.0815,152.4,0,0.00283703,1,15.2469
17996450,East,1,0,1,8030206,88.5713,15.12,12.5286,152.4,0,0.00353828,1,12.5208
17996458,East,1,0,1,8030206,61.6438,12.9643,15.1555,152.4,0,0.00134682,2,232.2288
17996358,East,1,0,1,8030206,89.1314,14.5033,13.1105,152.4,0,0.00394424,1,23.2506
17996336,East,1,0,1,8030206,81.3141,16.2466,11.0876,152.4,0,0.00079188,1,33.4629
17996466,East,1,0,1,8030206,73.5323,13.7295,12.9732,152.4,0,0.00287179,1,37.1448
17996224,East,1,0,1,8030206,86.5492,15.9212,12.3604,152.4,0,0.00269503,1,103.959
18000648,East,1,0,1,8030206,54.5286,17.08,6.05,152.4,0,0.00370485,1,27.4005
18044750,East,1,0,1,8030202,71.3396,14.2842,10.294,152.4,0,0.00445263,1,8.6085
18044710,East,1,0,1,8030202,68.2098,15.0494,10.004,152.4,0,0.00001,3,79.4025
18044458,East,1,0,1,8030202,100.3357,18.66,8.47,152.4,0,0.00661639,1,7.0884
18045704,East,1,0,1,8030202,81.3356,14.15,10.3433,152.4,0,0.00001,1,45.135
18045656,East,1,0,1,8030202,68.7775,17.4681,9.0276,152.4,0,0.00001,3,139.3866
18045036,East,1,0,1,8030202,71.6247,17.251,9.1281,152.4,0,0.00125224,1,25.8489
18044940,East,1,0,1,8030202,84.4971,17.6007,8.9542,152.4,0,0.00409227,1,9.8055
18021046,East,1,0,1,-9999,48.5962,19.8244,8.255,152.4,7,0.00101157,1,-9999
